Countries,lag_1,lag_2,lag_3,lag_4,lag_5,y
Bosnia and Herzegovina,19.74,20.23,20.8,20.8,20.8,19.85
Bosnia and Herzegovina,19.85,19.74,20.23,20.23,20.23,22.31
Bosnia and Herzegovina,22.31,19.85,19.74,19.74,,19.95
Bosnia and Herzegovina,19.95,22.31,19.85,,,18.79
Bosnia and Herzegovina,20.33,20.93,20.7,20.7,20.7,20.8
Bosnia and Herzegovina,20.8,20.33,20.93,20.93,20.93,20.23
Bosnia and Herzegovina,20.23,20.8,20.33,20.33,20.33,19.74
Bosnia and Herzegovina,19.74,20.23,20.8,20.8,20.8,19.85
Bosnia and Herzegovina,19.85,19.74,20.23,20.23,20.23,22.31
Bosnia and Herzegovina,22.31,19.85,19.74,19.74,,19.95
Bosnia and Herzegovina,19.95,22.31,19.85,,,18.79
Bosnia and Herzegovina,20.33,20.93,20.7,20.7,20.7,20.8
Bosnia and Herzegovina,20.8,20.33,20.93,20.93,20.93,20.23
Bosnia and Herzegovina,20.23,20.8,20.33,20.33,20.33,19.74
Bosnia and Herzegovina,19.74,20.23,20.8,20.8,20.8,19.85
Bosnia and Herzegovina,19.85,19.74,20.23,20.23,20.23,22.31
Bosnia and Herzegovina,22.31,19.85,19.74,19.74,,19.95
Bosnia and Herzegovina,19.95,22.31,19.85,,,18.79
Bosnia and Herzegovina,20.33,20.93,20.7,20.7,20.7,20.8
Bosnia and Herzegovina,20.8,20.33,20.93,20.93,20.93,20.23
Bosnia and Herzegovina,20.23,20.8,20.33,20.33,20.33,19.74
Bosnia and Herzegovina,19.74,20.23,20.8,20.8,20.8,19.85
Bosnia and Herzegovina,19.85,19.74,20.23,20.23,20.23,22.31
Bosnia and Herzegovina,22.31,19.85,19.74,19.74,,19.95
Bosnia and Herzegovina,19.95,22.31,19.85,,,18.79
Bulgaria,17.65,18.39,17.56,16.46,16.43,17.33
Bulgaria,17.33,17.65,18.39,17.56,16.46,16.82
Bulgaria,16.82,17.33,17.65,18.39,17.56,16.86
Bulgaria,16.86,16.82,17.33,17.65,18.39,16.61
Bulgaria,16.61,16.86,16.82,17.33,17.65,18.61
Bulgaria,18.61,16.61,16.86,16.82,17.33,18.81
Bulgaria,18.81,18.61,16.61,16.86,16.82,18.64
Bulgaria,17.65,18.39,17.56,16.46,16.43,17.33
Bulgaria,17.33,17.65,18.39,17.56,16.46,16.82
Bulgaria,16.82,17.33,17.65,18.39,17.56,16.86
Bulgaria,16.86,16.82,17.33,17.65,18.39,16.61
Bulgaria,16.61,16.86,16.82,17.33,17.65,18.61
Bulgaria,18.61,16.61,16.86,16.82,17.33,18.81
Bulgaria,18.81,18.61,16.61,16.86,16.82,18.64
Bulgaria,17.65,18.39,17.56,16.46,16.43,17.33
Bulgaria,17.33,17.65,18.39,17.56,16.46,16.82
Bulgaria,16.82,17.33,17.65,18.39,17.56,16.86
Bulgaria,16.86,16.82,17.33,17.65,18.39,16.61
Bulgaria,16.61,16.86,16.82,17.33,17.65,18.61
Bulgaria,18.61,16.61,16.86,16.82,17.33,18.81
Bulgaria,18.81,18.61,16.61,16.86,16.82,18.64
Bulgaria,17.65,18.39,17.56,16.46,16.43,17.33
Bulgaria,17.33,17.65,18.39,17.56,16.46,16.82
Bulgaria,16.82,17.33,17.65,18.39,17.56,16.86
Bulgaria,16.86,16.82,17.33,17.65,18.39,16.61
Bulgaria,16.61,16.86,16.82,17.33,17.65,18.61
Bulgaria,18.61,16.61,16.86,16.82,17.33,18.81
Bulgaria,18.81,18.61,16.61,16.86,16.82,18.64
Bulgaria,17.65,18.39,17.56,16.46,16.43,17.33
Bulgaria,17.33,17.65,18.39,17.56,16.46,16.82
Bulgaria,16.82,17.33,17.65,18.39,17.56,16.86
Bulgaria,16.86,16.82,17.33,17.65,18.39,16.61
Bulgaria,16.61,16.86,16.82,17.33,17.65,18.61
Bulgaria,18.61,16.61,16.86,16.82,17.33,18.81
Bulgaria,18.81,18.61,16.61,16.86,16.82,18.64
Bulgaria,17.65,18.39,17.56,16.46,16.43,17.33
Bulgaria,17.33,17.65,18.39,17.56,16.46,16.82
Bulgaria,16.82,17.33,17.65,18.39,17.56,16.86
Bulgaria,16.86,16.82,17.33,17.65,18.39,16.61
Bulgaria,16.61,16.86,16.82,17.33,17.65,18.61
Bulgaria,18.61,16.61,16.86,16.82,17.33,18.81
Bulgaria,18.81,18.61,16.61,16.86,16.82,18.64
Bulgaria,17.65,18.39,17.56,16.46,16.43,17.33
Bulgaria,17.33,17.65,18.39,17.56,16.46,16.82
Bulgaria,16.82,17.33,17.65,18.39,17.56,16.86
Bulgaria,16.86,16.82,17.33,17.65,18.39,16.61
Bulgaria,16.61,16.86,16.82,17.33,17.65,18.61
Bulgaria,18.61,16.61,16.86,16.82,17.33,18.81
Bulgaria,18.81,18.61,16.61,16.86,16.82,18.64
Bulgaria,17.65,18.39,17.56,16.46,16.43,17.33
Bulgaria,17.33,17.65,18.39,17.56,16.46,16.82
Bulgaria,16.82,17.33,17.65,18.39,17.56,16.86
Bulgaria,16.86,16.82,17.33,17.65,18.39,16.61
Bulgaria,16.61,16.86,16.82,17.33,17.65,18.61
Bulgaria,18.61,16.61,16.86,16.82,17.33,18.81
Bulgaria,18.81,18.61,16.61,16.86,16.82,18.64
Bulgaria,17.65,18.39,17.56,16.46,16.43,17.33
Bulgaria,17.33,17.65,18.39,17.56,16.46,16.82
Bulgaria,16.82,17.33,17.65,18.39,17.56,16.86
Bulgaria,16.86,16.82,17.33,17.65,18.39,16.61
Bulgaria,16.61,16.86,16.82,17.33,17.65,18.61
Bulgaria,18.61,16.61,16.86,16.82,17.33,18.81
Bulgaria,18.81,18.61,16.61,16.86,16.82,18.64
Bulgaria,17.65,18.39,17.56,16.46,16.43,17.33
Bulgaria,17.33,17.65,18.39,17.56,16.46,16.82
Bulgaria,16.82,17.33,17.65,18.39,17.56,16.86
Bulgaria,16.86,16.82,17.33,17.65,18.39,16.61
Bulgaria,16.61,16.86,16.82,17.33,17.65,18.61
Bulgaria,18.61,16.61,16.86,16.82,17.33,18.81
Bulgaria,18.81,18.61,16.61,16.86,16.82,18.64
Bulgaria,17.65,18.39,17.56,16.46,16.43,17.33
Bulgaria,17.33,17.65,18.39,17.56,16.46,16.82
Bulgaria,16.82,17.33,17.65,18.39,17.56,16.86
Bulgaria,16.86,16.82,17.33,17.65,18.39,16.61
Bulgaria,16.61,16.86,16.82,17.33,17.65,18.61
Bulgaria,18.61,16.61,16.86,16.82,17.33,18.81
Bulgaria,18.81,18.61,16.61,16.86,16.82,18.64
Bulgaria,17.65,18.39,17.56,16.46,16.43,17.33
Bulgaria,17.33,17.65,18.39,17.56,16.46,16.82
Bulgaria,16.82,17.33,17.65,18.39,17.56,16.86
Bulgaria,16.86,16.82,17.33,17.65,18.39,16.61
Bulgaria,16.61,16.86,16.82,17.33,17.65,18.61
Bulgaria,18.61,16.61,16.86,16.82,17.33,18.81
Bulgaria,18.81,18.61,16.61,16.86,16.82,18.64
Croatia,21.39,21.4,20.87,21.14,20.58,21.43
Croatia,21.43,21.39,21.4,20.87,21.14,21.12
Croatia,21.12,21.43,21.39,21.4,20.87,21.14
Croatia,21.14,21.12,21.43,21.39,21.4,21.15
Croatia,21.15,21.14,21.12,21.43,21.39,23.94
Croatia,23.94,21.15,21.14,21.12,21.43,22.42
Croatia,22.42,23.94,21.15,21.14,21.12,20.9
Croatia,21.39,21.4,20.87,21.14,20.58,21.43
Croatia,21.43,21.39,21.4,20.87,21.14,21.12
Croatia,21.12,21.43,21.39,21.4,20.87,21.14
Croatia,21.14,21.12,21.43,21.39,21.4,21.15
Croatia,21.15,21.14,21.12,21.43,21.39,23.94
Croatia,23.94,21.15,21.14,21.12,21.43,22.42
Croatia,22.42,23.94,21.15,21.14,21.12,20.9
Croatia,21.39,21.4,20.87,21.14,20.58,21.43
Croatia,21.43,21.39,21.4,20.87,21.14,21.12
Croatia,21.12,21.43,21.39,21.4,20.87,21.14
Croatia,21.14,21.12,21.43,21.39,21.4,21.15
Croatia,21.15,21.14,21.12,21.43,21.39,23.94
Croatia,23.94,21.15,21.14,21.12,21.43,22.42
Croatia,22.42,23.94,21.15,21.14,21.12,20.9
Croatia,21.39,21.4,20.87,21.14,20.58,21.43
Croatia,21.43,21.39,21.4,20.87,21.14,21.12
Croatia,21.12,21.43,21.39,21.4,20.87,21.14
Croatia,21.14,21.12,21.43,21.39,21.4,21.15
Croatia,21.15,21.14,21.12,21.43,21.39,23.94
Croatia,23.94,21.15,21.14,21.12,21.43,22.42
Croatia,22.42,23.94,21.15,21.14,21.12,20.9
Croatia,21.39,21.4,20.87,21.14,20.58,21.43
Croatia,21.43,21.39,21.4,20.87,21.14,21.12
Croatia,21.12,21.43,21.39,21.4,20.87,21.14
Croatia,21.14,21.12,21.43,21.39,21.4,21.15
Croatia,21.15,21.14,21.12,21.43,21.39,23.94
Croatia,23.94,21.15,21.14,21.12,21.43,22.42
Croatia,22.42,23.94,21.15,21.14,21.12,20.9
Croatia,21.39,21.4,20.87,21.14,20.58,21.43
Croatia,21.43,21.39,21.4,20.87,21.14,21.12
Croatia,21.12,21.43,21.39,21.4,20.87,21.14
Croatia,21.14,21.12,21.43,21.39,21.4,21.15
Croatia,21.15,21.14,21.12,21.43,21.39,23.94
Croatia,23.94,21.15,21.14,21.12,21.43,22.42
Croatia,22.42,23.94,21.15,21.14,21.12,20.9
Croatia,21.39,21.4,20.87,21.14,20.58,21.43
Croatia,21.43,21.39,21.4,20.87,21.14,21.12
Croatia,21.12,21.43,21.39,21.4,20.87,21.14
Croatia,21.14,21.12,21.43,21.39,21.4,21.15
Croatia,21.15,21.14,21.12,21.43,21.39,23.94
Croatia,23.94,21.15,21.14,21.12,21.43,22.42
Croatia,22.42,23.94,21.15,21.14,21.12,20.9
Croatia,21.39,21.4,20.87,21.14,20.58,21.43
Croatia,21.43,21.39,21.4,20.87,21.14,21.12
Croatia,21.12,21.43,21.39,21.4,20.87,21.14
Croatia,21.14,21.12,21.43,21.39,21.4,21.15
Croatia,21.15,21.14,21.12,21.43,21.39,23.94
Croatia,23.94,21.15,21.14,21.12,21.43,22.42
Croatia,22.42,23.94,21.15,21.14,21.12,20.9
Croatia,21.39,21.4,20.87,21.14,20.58,21.43
Croatia,21.43,21.39,21.4,20.87,21.14,21.12
Croatia,21.12,21.43,21.39,21.4,20.87,21.14
Croatia,21.14,21.12,21.43,21.39,21.4,21.15
Croatia,21.15,21.14,21.12,21.43,21.39,23.94
Croatia,23.94,21.15,21.14,21.12,21.43,22.42
Croatia,22.42,23.94,21.15,21.14,21.12,20.9
Croatia,21.39,21.4,20.87,21.14,20.58,21.43
Croatia,21.43,21.39,21.4,20.87,21.14,21.12
Croatia,21.12,21.43,21.39,21.4,20.87,21.14
Croatia,21.14,21.12,21.43,21.39,21.4,21.15
Croatia,21.15,21.14,21.12,21.43,21.39,23.94
Croatia,23.94,21.15,21.14,21.12,21.43,22.42
Croatia,22.42,23.94,21.15,21.14,21.12,20.9
Croatia,21.39,21.4,20.87,21.14,20.58,21.43
Croatia,21.43,21.39,21.4,20.87,21.14,21.12
Croatia,21.12,21.43,21.39,21.4,20.87,21.14
Croatia,21.14,21.12,21.43,21.39,21.4,21.15
Croatia,21.15,21.14,21.12,21.43,21.39,23.94
Croatia,23.94,21.15,21.14,21.12,21.43,22.42
Croatia,22.42,23.94,21.15,21.14,21.12,20.9
Croatia,21.39,21.4,20.87,21.14,20.58,21.43
Croatia,21.43,21.39,21.4,20.87,21.14,21.12
Croatia,21.12,21.43,21.39,21.4,20.87,21.14
Croatia,21.14,21.12,21.43,21.39,21.4,21.15
Croatia,21.15,21.14,21.12,21.43,21.39,23.94
Croatia,23.94,21.15,21.14,21.12,21.43,22.42
Croatia,22.42,23.94,21.15,21.14,21.12,20.9
Cyprus,19.9,20.09,22.92,20.83,20.03,19.31
Cyprus,19.31,19.9,20.09,22.92,20.83,18.31
Cyprus,18.31,19.31,19.9,20.09,22.92,17.53
Cyprus,17.53,18.31,19.31,19.9,20.09,18.31
Cyprus,18.31,17.53,18.31,19.31,19.9,24.25
Cyprus,24.25,18.31,17.53,18.31,19.31,21.65
Cyprus,21.65,24.25,18.31,17.53,18.31,19.81
Cyprus,19.9,20.09,22.92,20.83,20.03,19.31
Cyprus,19.31,19.9,20.09,22.92,20.83,18.31
Cyprus,18.31,19.31,19.9,20.09,22.92,17.53
Cyprus,17.53,18.31,19.31,19.9,20.09,18.31
Cyprus,18.31,17.53,18.31,19.31,19.9,24.25
Cyprus,24.25,18.31,17.53,18.31,19.31,21.65
Cyprus,21.65,24.25,18.31,17.53,18.31,19.81
Cyprus,19.9,20.09,22.92,20.83,20.03,19.31
Cyprus,19.31,19.9,20.09,22.92,20.83,18.31
