geo,age,sex,citizen,acceptance_rate
Austria,From 35 to 64 years,Females,Syria,0.9736842105263158
Austria,From 35 to 64 years,Females,Tajikistan,1.0
Austria,From 35 to 64 years,Females,Total,0.7180094786729858
Austria,From 35 to 64 years,Females,Tunisia,0.0
Austria,From 35 to 64 years,Females,Türkiye,0.2608695652173913
Austria,From 35 to 64 years,Females,Ukraine,0.5555555555555556
Austria,From 35 to 64 years,Females,Uzbekistan,0.0
Austria,From 35 to 64 years,Females,Venezuela,0.5555555555555556
Austria,From 35 to 64 years,Females,Yemen,1.0
Austria,From 35 to 64 years,Males,Afghanistan,0.8348623853211009
Austria,From 35 to 64 years,Males,Albania,0.0
Austria,From 35 to 64 years,Males,Algeria,0.0
Austria,From 35 to 64 years,Males,Armenia,0.1
Austria,From 35 to 64 years,Males,Azerbaijan,0.0
Austria,From 35 to 64 years,Males,Bangladesh,0.0
Austria,From 35 to 64 years,Males,Belarus,0.0
Austria,From 35 to 64 years,Males,Bosnia and Herzegovina,0.0
Austria,From 35 to 64 years,Males,Cameroon,0.5
Austria,From 35 to 64 years,Males,China,0.20833333333333334
Austria,From 35 to 64 years,Males,Colombia,0.0
Austria,From 35 to 64 years,Males,Congo,0.0
Austria,From 35 to 64 years,Males,Democratic Republic of the Congo,0.25
Austria,From 35 to 64 years,Males,Egypt,0.011764705882352941
Austria,From 35 to 64 years,Males,Eritrea,0.5
Austria,From 35 to 64 years,Males,"Gambia, The",0.0
Austria,From 35 to 64 years,Males,Georgia,0.04
Austria,From 35 to 64 years,Males,Ghana,0.0
Austria,From 35 to 64 years,Males,India,0.0
Austria,From 35 to 64 years,Males,Iran,0.4189189189189189
Austria,From 35 to 64 years,Males,Iraq,0.2903225806451613
Austria,From 35 to 64 years,Males,Jordan,0.0
Austria,From 35 to 64 years,Males,Kazakhstan,0.0
Austria,From 35 to 64 years,Males,Kosovo*,0.2857142857142857
Austria,From 35 to 64 years,Males,Lebanon,0.0
Austria,From 35 to 64 years,Males,Libya,0.0
Austria,From 35 to 64 years,Males,Moldova,0.0
Austria,From 35 to 64 years,Males,Mongolia,0.0
Austria,From 35 to 64 years,Males,Morocco,0.0
Austria,From 35 to 64 years,Males,Nigeria,0.12
Austria,From 35 to 64 years,Males,North Macedonia,0.0
Austria,From 35 to 64 years,Males,Pakistan,0.015151515151515152
Austria,From 35 to 64 years,Males,Russia,0.4444444444444444
Austria,From 35 to 64 years,Males,Serbia,0.0
Austria,From 35 to 64 years,Males,Somalia,0.5882352941176471
Austria,From 35 to 64 years,Males,Sri Lanka,0.0
Austria,From 35 to 64 years,Males,Stateless,0.7692307692307693
Austria,From 35 to 64 years,Males,Sudan,1.0
Austria,From 35 to 64 years,Males,Syria,0.952329360780065
Austria,From 35 to 64 years,Males,Tajikistan,1.0
Austria,From 35 to 64 years,Males,Total,0.43906075288855756
Austria,From 35 to 64 years,Males,Tunisia,0.0
Austria,From 35 to 64 years,Males,Türkiye,0.08609271523178808
Austria,From 35 to 64 years,Males,Ukraine,0.5714285714285714
Austria,From 35 to 64 years,Males,Uzbekistan,0.0
Austria,From 35 to 64 years,Males,Venezuela,0.75
Austria,From 35 to 64 years,Males,Yemen,0.9230769230769231
Austria,Less than 14 years,Females,Afghanistan,0.9877750611246944
Austria,Less than 14 years,Females,Albania,0.0
Austria,Less than 14 years,Females,Armenia,0.16666666666666666
Austria,Less than 14 years,Females,Azerbaijan,0.0
Austria,Less than 14 years,Females,Bangladesh,0.6666666666666666
Austria,Less than 14 years,Females,Cameroon,1.0
Austria,Less than 14 years,Females,China,1.0
Austria,Less than 14 years,Females,Congo,1.0
Austria,Less than 14 years,Females,Democratic Republic of the Congo,1.0
Austria,Less than 14 years,Females,Egypt,0.5
Austria,Less than 14 years,Females,Eritrea,1.0
Austria,Less than 14 years,Females,Ethiopia,1.0
Austria,Less than 14 years,Females,"Gambia, The",1.0
